gene.name,ensembl.id,pathway
EBF1,ENSG00000164330,Bcell_Pathway
IKZF1,ENSG00000185811,Bcell_Pathway
RAG1,ENSG00000166349,Bcell_Pathway
RAG2,ENSG00000175097,Bcell_Pathway
CCND3,ENSG00000112576,CellCycle_Pathway
CDKN1B,ENSG00000111276,CellCycle_Pathway
CDKN2A,ENSG00000147889,CellCycle_Pathway
RB1,ENSG00000139687,CellCycle_Pathway
CKLF,ENSG00000217555,Chemokine/Cytokine_Rare_Pathway
CMTM1,ENSG00000089505,Chemokine/Cytokine_Rare_Pathway
CXCR4,ENSG00000121966,Chemokine/Cytokine_Rare_Pathway
CTCF,ENSG00000102974,Cohesin_Rare_Pathway
NIPBL,ENSG00000164190,Cohesin_Rare_Pathway
PDS5B,ENSG00000083642,Cohesin_Rare_Pathway
RAD21,ENSG00000164754,Cohesin_Rare_Pathway
SMC3,ENSG00000108055,Cohesin_Rare_Pathway
STAG2,ENSG00000101972,Cohesin_Rare_Pathway
FLNB,ENSG00000136068,Cytoskeletal_Rare_Pathway
AMN1,ENSG00000151743,DNA_Damage_And_CellCycle_Rare_Pathway
ATM,ENSG00000149311,DNA_Damage_And_CellCycle_Rare_Pathway
CDK6,ENSG00000105810,DNA_Damage_And_CellCycle_Rare_Pathway
MCM9,ENSG00000111877,DNA_Damage_And_CellCycle_Rare_Pathway
ARID1A,ENSG00000117713,Epigenetic_Pathway
CHD2,ENSG00000173575,Epigenetic_Pathway
CREBBP,ENSG00000005339,Epigenetic_Pathway
DOT1L,ENSG00000104885,Epigenetic_Pathway
EED,ENSG00000074266,Epigenetic_Pathway
EP300,ENSG00000100393,Epigenetic_Pathway
EZH2,ENSG00000106462,Epigenetic_Pathway
KDM6A,ENSG00000147050,Epigenetic_Pathway
KMT2C,ENSG00000055609,Epigenetic_Pathway
KMT2D,ENSG00000167548,Epigenetic_Pathway
NSD2,ENSG00000109685,Epigenetic_Pathway
SETD2,ENSG00000181555,Epigenetic_Pathway
SMARCA4,ENSG00000127616,Epigenetic_Pathway
SUZ12,ENSG00000178691,Epigenetic_Pathway
TBL1XR1,ENSG00000177565,Epigenetic_Pathway
HDAC7,ENSG00000061273,Epigenetic_Rare_Pathway
HMGB1,ENSG00000189403,Epigenetic_Rare_Pathway
IDH2,ENSG00000182054,Epigenetic_Rare_Pathway
INO80,ENSG00000128908,Epigenetic_Rare_Pathway
PSPC1,ENSG00000121390,Epigenetic_Rare_Pathway
SATB1,ENSG00000182568,Epigenetic_Rare_Pathway
SETD1B,ENSG00000139718,Epigenetic_Rare_Pathway
SPEN,ENSG00000065526,Epigenetic_Rare_Pathway
TRRAP,ENSG00000196367,Epigenetic_Rare_Pathway
ZMYM2,ENSG00000121741,Epigenetic_Rare_Pathway
IL7R,ENSG00000168685,Jak_Pathway
JAK1,ENSG00000162434,Jak_Pathway
JAK2,ENSG00000096968,Jak_Pathway
JAK3,ENSG00000105639,Jak_Pathway
PTPN2,ENSG00000175354,Jak_Pathway
SH2B3,ENSG00000111252,Jak_Pathway
STAT5B,ENSG00000173757,Jak_Pathway
LINC00649,ENSG00000237945,Noncoding_Rare_Pathway
FBXW7,ENSG00000109670,Notch_Pathway
NOTCH1,ENSG00000148400,Notch_Pathway
B2M,ENSG00000166710,Other_Rare_Pathway
B3GALT4,ENSG00000235863,Other_Rare_Pathway
GIGYF2,ENSG00000204120,Other_Rare_Pathway
KIAA1958,ENSG00000165185,Other_Rare_Pathway
LCAT,ENSG00000213398,Other_Rare_Pathway
LETM1,ENSG00000168924,Other_Rare_Pathway
MAP3K2,ENSG00000169967,Other_Rare_Pathway
TRAF3IP2,ENSG00000056972,Other_Rare_Pathway
XPO1,ENSG00000082898,Other_Rare_Pathway
AKT1,ENSG00000142208,PI3K_Pathway
MTOR,ENSG00000198793,PI3K_Pathway
PIK3CA,ENSG00000121879,PI3K_Pathway
PIK3CD,ENSG00000171608,PI3K_Pathway
PIK3R1,ENSG00000145675,PI3K_Pathway
PTEN,ENSG00000171862,PI3K_Pathway
SAE1,ENSG00000142230,ProteinModification_Ub_Sumo_Rare_Pathway
UBE2D3,ENSG00000109332,ProteinModification_Ub_Sumo_Rare_Pathway
UBE2I,ENSG00000103275,ProteinModification_Ub_Sumo_Rare_Pathway
UHRF1,ENSG00000276043,ProteinModification_Ub_Sumo_Rare_Pathway
USP1,ENSG00000162607,ProteinModification_Ub_Sumo_Rare_Pathway
BRAF,ENSG00000157764,Ras_Pathway
KRAS,ENSG00000133703,Ras_Pathway
LZTR1,ENSG00000099949,Ras_Pathway
NF1,ENSG00000196712,Ras_Pathway
NRAS,ENSG00000213281,Ras_Pathway
PTPN11,ENSG00000179295,Ras_Pathway
RPL10,ENSG00000147403,Ribosome_Pathway
RPL11,ENSG00000142676,Ribosome_Pathway
RPL22,ENSG00000116251,Ribosome_Pathway
RPL5,ENSG00000122406,Ribosome_Pathway
BTG1,ENSG00000133639,RNA_Machinery_Rare_Pathway
DDX3X,ENSG00000215301,RNA_Machinery_Rare_Pathway
DHX15,ENSG00000109606,RNA_Machinery_Rare_Pathway
GPN3,ENSG00000111231,RNA_Machinery_Rare_Pathway
MBNL1,ENSG00000152601,RNA_Machinery_Rare_Pathway
SF3B1,ENSG00000115524,RNA_Machinery_Rare_Pathway
SNRNP70,ENSG00000104852,RNA_Machinery_Rare_Pathway
SRSF3,ENSG00000112081,RNA_Machinery_Rare_Pathway
U2AF1,ENSG00000160201,RNA_Machinery_Rare_Pathway
WAC,ENSG00000095787,RNA_Machinery_Rare_Pathway
ZFP36L2,ENSG00000152518,RNA_Machinery_Rare_Pathway
ATF7IP,ENSG00000171681,Transcription_Pathway
BCL11B,ENSG00000127152,Transcription_Pathway
CNOT3,ENSG00000088038,Transcription_Pathway
ERG,ENSG00000157554,Transcription_Pathway
ETV6,ENSG00000139083,Transcription_Pathway
GATA3,ENSG00000107485,Transcription_Pathway
LEF1,ENSG00000138795,Transcription_Pathway
MED12,ENSG00000184634,Transcription_Pathway
MGA,ENSG00000174197,Transcription_Pathway
MYB,ENSG00000118513,Transcription_Pathway
NR3C1,ENSG00000113580,Transcription_Pathway
RUNX1,ENSG00000159216,Transcription_Pathway
TCF7,ENSG00000081059,Transcription_Pathway
TOX,ENSG00000198846,Transcription_Pathway
TSC22D1,ENSG00000102804,Transcription_Pathway
WT1,ENSG00000184937,Transcription_Pathway
XBP1,ENSG00000100219,Transcription_Pathway
BCL6,ENSG00000113916,Transcription_Rare_Pathway
EWSR1,ENSG00000182944,Transcription_Rare_Pathway
PBX3,ENSG00000167081,Transcription_Rare_Pathway
SPI1,ENSG00000066336,Transcription_Rare_Pathway
TCF4,ENSG00000196628,Transcription_Rare_Pathway
ZNF292,ENSG00000188994,Transcription_Rare_Pathway
